"geoid","party_dem","party_npp","party_rep","voters_gender_m","voters_gender_f","voters_gender_unknkown","commercialdatall_gun_owner","commercialdatall_home_owner_or_renter_likely_homeowner","commercialdatall_home_owner_or_renter_likely_renter","commercialdata_upscalebuyerinhome_avg","commercialdata_familymagazineinhome_avg","commercialdata_femaleorientedmagazineinhome_avg","commercialdata_financialmagazineinhome_avg","commercialdata_gardeningmagazineinhome_avg","commercialdata_healthfitnessmagazineinhome_avg"
360593009005012,15,42,15,39,37,0,4,45,18,NA,2,1,1,NA,2
360710117023032,1,0,2,0,3,0,2,1,0,NA,NA,NA,NA,NA,3
360550129004023,16,11,2,13,17,0,2,21,3,NA,1,NA,1,1,2
360271000001013,0,1,2,2,1,0,0,1,0,NA,NA,NA,NA,NA,NA
360359706003096,1,0,4,3,2,0,0,2,1,NA,NA,NA,NA,1,2
360450601001065,1,0,2,2,1,0,0,1,0,NA,NA,NA,NA,NA,NA
360239704002020,1,3,4,4,5,0,2,6,0,NA,2,NA,1,3,2
360290077001013,2,0,1,1,2,0,0,1,0,NA,NA,NA,NA,NA,NA
360594109004011,28,7,4,23,19,0,3,30,6,1,NA,1,1,NA,2
360430105022021,1,0,3,2,3,0,1,1,4,NA,2,NA,NA,NA,1
360670054002003,57,13,4,41,35,0,1,16,34,NA,1,1,NA,NA,2
360099605004015,0,1,1,1,2,0,1,3,0,NA,3,1,4,2,7
360810616012009,40,5,0,21,25,0,8,20,20,NA,1,NA,NA,NA,1
360750214012052,8,6,6,10,12,0,6,15,0,NA,1,NA,NA,NA,2
360750201003032,0,0,2,1,1,0,0,2,0,NA,NA,NA,NA,NA,NA
361031230022023,0,2,2,1,3,0,0,4,0,NA,NA,NA,NA,NA,NA
361119548002015,9,9,6,12,16,0,2,7,13,NA,1,NA,6,1,3
360659402003038,5,11,36,31,29,0,15,44,1,1,1,NA,2,NA,2
360595215001021,13,5,9,10,20,0,4,19,5,NA,1,1,NA,NA,1
360210011001029,5,4,3,4,9,0,6,10,0,NA,1,1,2,1,3
360811039001012,27,22,11,28,35,0,5,15,44,NA,2,1,1,1,2
360790101001058,0,5,6,4,7,0,0,8,1,NA,1,NA,NA,NA,2
361190111014012,10,8,2,12,9,0,0,15,3,NA,1,NA,1,2,1
360379501004044,7,3,4,8,9,0,3,7,8,NA,3,NA,NA,2,1
360099603004042,1,2,2,2,3,0,1,3,2,NA,NA,NA,NA,NA,NA
360470274001003,58,46,37,66,83,0,5,14,115,NA,1,2,2,1,1
360670112424018,9,10,3,12,11,0,2,15,0,NA,1,NA,1,NA,1
360850208033022,13,4,9,11,15,0,6,9,13,NA,1,NA,1,NA,NA
361119542002031,10,8,5,13,13,0,1,12,11,NA,1,NA,3,NA,1
360550141042012,15,6,21,21,26,0,6,25,10,NA,1,1,NA,NA,1
360775915002058,1,3,0,2,2,0,0,4,0,NA,NA,NA,NA,NA,NA
360290101022002,11,2,1,7,8,0,0,0,15,NA,NA,NA,NA,NA,NA
361231503003062,0,0,5,2,3,0,2,4,0,NA,1,1,1,3,3
360979501001101,11,3,11,17,10,0,5,16,5,NA,1,NA,NA,2,1
360730407005006,5,4,9,9,9,0,5,14,0,NA,2,1,4,1,4
360290137012009,0,0,0,0,1,0,0,0,0,2,NA,1,2,3,2
360290081014000,39,17,25,44,43,0,11,61,7,1,1,1,1,1,2
360750213002027,1,2,1,1,3,0,0,1,1,NA,1,NA,NA,NA,3
360850170052016,26,25,45,43,61,0,5,26,62,NA,1,NA,2,1,1
360379501002006,3,1,4,2,7,0,1,6,0,1,2,1,1,1,2
360910613022027,32,19,33,40,46,0,16,71,0,NA,2,2,1,1,2
361031237012018,17,8,2,17,12,0,0,8,5,NA,NA,NA,1,NA,5
361031115033011,16,24,21,27,40,0,10,47,9,NA,1,2,2,1,4
360319601003029,4,2,8,8,7,0,1,9,0,NA,1,NA,NA,NA,1
361059504001033,9,10,13,15,17,0,7,17,4,NA,2,NA,NA,4,2
360775905001027,1,3,0,1,3,0,0,3,0,NA,NA,NA,NA,NA,NA
361190053003020,21,11,3,20,16,0,2,18,1,NA,1,NA,2,NA,1
361170215022036,1,11,7,10,10,0,2,7,0,NA,NA,NA,NA,NA,NA
360775906001182,7,9,9,13,13,0,5,14,0,NA,1,NA,1,1,1
360150111005022,3,0,2,4,1,0,0,2,1,NA,NA,NA,NA,NA,NA
360650250013021,1,6,3,7,3,0,4,7,0,NA,1,NA,NA,NA,NA
361150900003070,2,1,0,2,1,0,1,3,0,NA,NA,NA,NA,NA,NA
361031904016017,5,5,8,13,11,0,4,19,0,NA,1,2,1,2,3
360050312002001,33,19,9,28,37,1,4,6,55,NA,1,1,2,1,2
360359712001025,12,14,17,19,24,0,8,28,9,NA,1,1,NA,NA,2
360050002003008,39,8,4,25,27,0,0,2,50,NA,1,NA,NA,NA,1
360670126003026,17,18,12,28,25,0,7,40,0,2,1,1,3,2,3
360099611002059,0,0,4,4,4,0,2,5,0,NA,NA,NA,1,NA,NA
361031476012002,7,8,27,23,19,0,12,25,14,2,1,2,1,1,2
360110412005005,9,1,4,7,7,0,3,9,3,NA,NA,NA,NA,NA,1
360110406002005,47,29,59,69,76,0,13,101,11,1,1,2,2,1,2
361059512005015,7,6,7,9,14,0,0,6,9,NA,1,1,NA,2,NA
360179708021005,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
361031234012021,7,2,2,5,7,0,2,3,8,NA,NA,NA,NA,NA,NA
360670162001021,6,6,5,7,10,0,3,8,4,NA,1,NA,2,NA,3
360830411003012,14,6,10,15,20,0,2,6,26,NA,1,1,1,NA,1
360670046004018,47,8,5,28,32,0,2,40,4,2,1,1,2,3,1
360830521021065,12,7,10,14,18,0,3,16,0,NA,1,NA,1,1,2
360594158022000,44,27,56,56,82,0,10,9,120,1,1,1,1,1,2
361150930001013,2,2,0,3,2,0,0,2,3,NA,NA,NA,NA,NA,NA
361031584074015,50,30,47,63,72,0,22,77,29,NA,1,1,1,1,2
360110411002032,23,21,33,46,38,0,10,50,14,1,1,NA,1,1,1
361190047002025,5,4,2,4,7,0,1,7,0,NA,NA,NA,NA,NA,1
360070146002017,5,8,11,15,15,0,5,18,5,NA,3,1,2,1,2
361190148052054,19,6,8,18,15,0,9,15,13,3,1,NA,NA,1,1
360530310002140,7,1,2,6,5,0,0,7,0,NA,2,2,1,1,1
360099622001008,10,2,13,15,15,0,10,21,3,NA,1,1,NA,NA,2
360010141002006,4,1,0,2,3,0,0,0,3,NA,NA,NA,NA,NA,NA
360471156003000,373,84,16,152,327,0,2,0,479,NA,1,1,NA,NA,1
360957405002068,6,1,2,4,5,0,4,6,0,NA,1,NA,NA,NA,2
360670111022004,2,1,2,1,6,0,0,1,0,NA,NA,NA,NA,NA,NA
360239710003025,6,0,1,5,4,0,4,6,0,NA,2,3,1,5,4
360593008001003,14,10,2,15,13,0,3,16,5,NA,1,1,NA,NA,1
