"lname","fname","party","state","seat","district","ico.status","cand.gender","recipient.cfscore.dyn","contributor.cfscore","num.givers.total","total.receipts","prim.vote.pct","pwinner","gen.vote.pct","gwinner"
"petrilli","george","100","IL","federal:house","IL18","C","M",-1.056,-0.913,17,"16219.62 USD",0.001,"W",29.59,"L"
"chambers","gary","100","LA","federal:house","LA02","C","M",-1.208,-2.07,21959,"106626.67 USD",NA,NA,NA,NA
"finley","christopher","100","TN","federal:house","TN06","C","M",-0.854,NA,2,"0 USD",NA,NA,24.5594920099349,"L"
"hamilton","wendy","100","DC","federal:house","DC01","C","F",-0.837,NA,387,"5163.66 USD",NA,NA,NA,NA
"n","mckayla","100","MD","federal:house","MD05","C","F",-1.125,-1.131,8154,"0 USD",NA,NA,NA,NA
"jaye","brian","100","MI","federal:house","MI08","C","M",-1.076,-1.018,220,"201 USD",NA,NA,NA,NA
"mcginn","randi","100","NM","federal:house","NM01","C","F",-0.746,-0.881,159,"214888 USD",NA,NA,NA,NA
"turner","nina","100","OH","federal:house","OH11","C","F",NA,-0.88,30567,"646744.98 USD",NA,NA,NA,NA
"brown","shontel","100","OH","federal:house","OH11","C","F",-0.546,NA,5526,"40132.75 USD",NA,NA,NA,NA
"johnson","jeffrey","100","OH","federal:house","OH11","C","M",-0.876,NA,235,"5700 USD",NA,NA,NA,NA
"hyman","mal","100","SC","federal:house","SC07","C","M",-1.132,-1.05,822,"0 USD",NA,NA,NA,NA
"linn","max","200","ME","federal:senate","MES20","C","M",2.181,2.089,2,"544443.57 USD",NA,"L",1.65,"L"
"ronnebeck","steve","200","AZ","federal:house","AZ03","C","M",1.515,NA,5,"4880 USD",NA,NA,NA,NA
"ireland","jonathan","100","AZ","federal:house","AZ05","C","M",-1.143,NA,12,"0 USD",0.1059,"L",NA,NA
"tyler","john","100","CA","federal:house","CA05","C","M",-1.037,-1.117,6,"3006 USD",0.0952,"L",NA,NA
"campbell","samantha","100","CA","federal:house","CA15","O","F",-1.206,NA,3,"0 USD",0.0983,"L",NA,NA
"lackey","courtney","200","CA","federal:house","CA25","C","F",1.049,NA,6,"4718 USD",NA,NA,NA,NA
"carroll","brian","100","CA","federal:house","CA30","C","M",-0.413,NA,25,"0 USD",0.035,"L",NA,NA
"scott","keanakay","100","CA","federal:house","CA34","C","U",-1.18,NA,7,"0 USD",0.0555,"L",NA,NA
"mcleod","jalen","100","CA","federal:house","CA47","C","M",-1.103,NA,29,"0 USD",0.087,"L",NA,NA
"ryans","jerlilia","100","CA","federal:house","CA52","C","U",-1.121,-1.018,4,"0 USD",NA,NA,NA,NA
"bolling","shane","200","CO","federal:house","CO01","C","M",1.548,1.592,9,"13657.96 USD",1,"W",23.53,"L"
"bocchino","brandon","100","CO","federal:house","CO05","C","M",1.394,NA,9,"0 USD",NA,NA,NA,NA
"morris","matthew","200","DE","federal:house","DE01","C","M",2.174,2.263,7,"12470.02 USD",0.2619,"L",NA,NA
"rowe","richard","100","FL","federal:house","FL03","O","M",-1.029,NA,80,"0 USD",NA,NA,NA,NA
"nolan","john","328","FL","federal:house","FL06","C","M",-0.547,-0.534,26,"5008.47 USD",NA,"L",0.03,"L"
