"election","lname","fname","party","state","seat","district","ico.status","cand.gender","recipient.cfscore.dyn","contributor.cfscore","num.givers.total","total.receipts","total.disbursements","prim.vote.pct","pwinner","gen.vote.pct","gwinner"
"fd2020","petrilli","george","100","IL","federal:house","IL18","C","M",-1.056,-0.913,17,16219.62,8270.2,0.001,"W",29.59,"L"
"fd2020","chambers","gary","100","LA","federal:house","LA02","C","M",-1.208,-2.07,21959,106626.67,28800.99,NA,NA,NA,NA
"fd2020","finley","christopher","100","TN","federal:house","TN06","C","M",-0.854,NA,2,0,0,NA,NA,24.5594920099349,"L"
"fd2020","hamilton","wendy","100","DC","federal:house","DC01","C","F",-0.837,NA,387,5163.66,2319.08,NA,NA,NA,NA
"fd2020","n","mckayla","100","MD","federal:house","MD05","C","F",-1.125,-1.131,8154,0,0,NA,NA,NA,NA
"fd2020","jaye","brian","100","MI","federal:house","MI08","C","M",-1.076,-1.018,220,201,0,NA,NA,NA,NA
"fd2020","mcginn","randi","100","NM","federal:house","NM01","C","F",-0.746,-0.881,159,214888,0,NA,NA,NA,NA
"fd2020","turner","nina","100","OH","federal:house","OH11","C","F",NA,-0.88,30567,646744.98,162967.71,NA,NA,NA,NA
"fd2020","brown","shontel","100","OH","federal:house","OH11","C","F",-0.546,NA,5526,40132.75,503.99,NA,NA,NA,NA
"fd2020","johnson","jeffrey","100","OH","federal:house","OH11","C","M",-0.876,NA,235,5700,348.95,NA,NA,NA,NA
"fd2020","hyman","mal","100","SC","federal:house","SC07","C","M",-1.132,-1.05,822,0,0,NA,NA,NA,NA
"fd2020","linn","max","200","ME","federal:senate","MES20","C","M",2.181,2.089,2,544443.57,529556.49,NA,"L",1.65,"L"
"fd2020","ronnebeck","steve","200","AZ","federal:house","AZ03","C","M",1.515,NA,5,4880,3422.36,NA,NA,NA,NA
"fd2020","ireland","jonathan","100","AZ","federal:house","AZ05","C","M",-1.143,NA,12,0,0,0.1059,"L",NA,NA
"fd2020","tyler","john","100","CA","federal:house","CA05","C","M",-1.037,-1.117,6,3006,3006,0.0952,"L",NA,NA
"fd2020","campbell","samantha","100","CA","federal:house","CA15","O","F",-1.206,NA,3,0,0,0.0983,"L",NA,NA
"fd2020","lackey","courtney","200","CA","federal:house","CA25","C","F",1.049,NA,6,4718,4718,NA,NA,NA,NA
"fd2020","carroll","brian","100","CA","federal:house","CA30","C","M",-0.413,NA,25,0,0,0.035,"L",NA,NA
"fd2020","scott","keanakay","100","CA","federal:house","CA34","C","U",-1.18,NA,7,0,0,0.0555,"L",NA,NA
"fd2020","mcleod","jalen","100","CA","federal:house","CA47","C","M",-1.103,NA,29,0,0,0.087,"L",NA,NA
"fd2020","ryans","jerlilia","100","CA","federal:house","CA52","C","U",-1.121,-1.018,4,0,0,NA,NA,NA,NA
"fd2020","bolling","shane","200","CO","federal:house","CO01","C","M",1.548,1.592,9,13657.96,13657.96,1,"W",23.53,"L"
"fd2020","bocchino","brandon","100","CO","federal:house","CO05","C","M",1.394,NA,9,0,0,NA,NA,NA,NA
"fd2020","morris","matthew","200","DE","federal:house","DE01","C","M",2.174,2.263,7,12470.02,12799.78,0.2619,"L",NA,NA
"fd2020","rowe","richard","100","FL","federal:house","FL03","O","M",-1.029,NA,80,0,0,NA,NA,NA,NA
"fd2020","nolan","john","328","FL","federal:house","FL06","C","M",-0.547,-0.534,26,5008.47,5797.37,NA,"L",0.03,"L"
"fd2020","walls windhauser","angela","200","FL","federal:house","FL08","C","F",1.505,NA,2,0,0,NA,NA,NA,NA
"fd2020","aarons","adam","100","FL","federal:house","FL21","C","M",-0.445,NA,4,0,0,NA,NA,NA,NA
"fd2020","mohammad","imtiaz","100","FL","state:lower","FL22","C","M",-1.011,-0.666,153,0,0,NA,NA,NA,NA
"fd2020","escobar","yadira","100","FL","federal:house","FL25","C","F",-1.121,NA,19,2196.9,2196.9,NA,NA,NA,NA
"fd2020","polo","frank","200","FL","federal:house","FL27","C","M",NA,1.882,7,4606.12,4662.47,0.001,"W",0.02,"L"
"fd2020","harbin","blake","200","GA","federal:house","GA06","C","M",1.385,NA,92,0,0,0.0487,"L",NA,NA
"fd2020","tolin","tyler","200","GA","federal:house","GA09","O","M",-1.167,-1.179,34,2005,2005,NA,NA,NA,NA
"fd2020","waites","keisha","100","GA","federal:house","GA13","C","F",-1.613,-0.971,158,875,0,0.2549,"L",NA,NA
