"age","income","male","svh","gen2012","treatment","group","voted"
38,1e+05,1,0,1,1,"T1: 1 Call",1
36,1e+05,0,0,1,1,"T1: 1 Call",0
64,75000,1,0,0,0,"Control (No Call)",0
63,75000,0,0,0,0,"Control (No Call)",0
21,1e+05,0,0,0,0,"Control (No Call)",0
30,50000,1,0,0,0,"Control (No Call)",0
56,1e+05,1,0,1,0,"Control (No Call)",0
54,1e+05,0,0,1,0,"Control (No Call)",0
58,50000,1,0,1,1,"T1: 1 Call",1
22,50000,1,0,0,1,"T1: 1 Call",0
62,50000,0,0,1,0,"Control (No Call)",0
23,50000,1,0,0,0,"Control (No Call)",0
56,35000,1,1,1,1,"T1: 1 Call",1
85,15000,0,0,1,0,"Control (No Call)",1
29,50000,0,0,0,0,"Control (No Call)",0
81,15000,1,1,0,0,"Control (No Call)",0
48,0,0,0,1,0,"Control (No Call)",0
20,0,0,0,0,0,"Control (No Call)",0
49,0,1,0,1,0,"Control (No Call)",1
23,15000,0,0,0,1,"T1: 1 Call",1
47,75000,1,0,1,1,"T1: 1 Call",1
48,75000,0,0,1,1,"T1: 1 Call",1
48,75000,0,0,1,1,"T1: 1 Call",0
50,75000,1,0,1,1,"T1: 1 Call",0
40,75000,0,0,1,1,"T1: 1 Call",0
50,75000,1,0,1,1,"T1: 1 Call",0
NA,NA,NA,0,0,1,"T1: 1 Call",0
55,50000,0,1,1,1,"T1: 1 Call",0
55,50000,1,0,1,1,"T1: 1 Call",0
53,50000,1,0,1,1,"T1: 1 Call",1
55,50000,0,0,1,1,"T1: 1 Call",0
77,50000,0,1,1,1,"T1: 1 Call",1
62,35000,0,0,1,1,"T1: 1 Call",1
61,35000,1,0,1,1,"T1: 1 Call",1
32,35000,1,0,0,1,"T1: 1 Call",0
54,1e+05,1,0,1,1,"T1: 1 Call",1
22,1e+05,1,0,0,1,"T1: 1 Call",0
54,1e+05,0,0,1,1,"T1: 1 Call",1
52,50000,0,0,1,0,"Control (No Call)",0
56,50000,1,0,1,0,"Control (No Call)",0
71,25000,0,0,1,0,"Control (No Call)",0
63,50000,1,0,1,0,"Control (No Call)",0
62,50000,0,0,1,0,"Control (No Call)",0
37,50000,0,0,0,1,"T1: 1 Call",0
37,50000,1,0,0,1,"T1: 1 Call",0
27,50000,0,0,0,1,"T1: 1 Call",0
29,50000,0,0,0,1,"T1: 1 Call",0
54,50000,0,0,1,1,"T1: 1 Call",1
64,75000,1,0,1,0,"Control (No Call)",1
60,75000,0,0,0,0,"Control (No Call)",1
82,50000,0,0,1,0,"Control (No Call)",1
81,50000,1,0,0,0,"Control (No Call)",1
27,50000,1,0,0,1,"T1: 1 Call",0
31,50000,0,0,0,1,"T1: 1 Call",0
25,50000,1,0,1,1,"T1: 1 Call",1
NA,NA,NA,0,1,0,"Control (No Call)",0
NA,NA,NA,0,1,0,"Control (No Call)",0
65,50000,0,1,1,0,"Control (No Call)",1
95,50000,1,0,0,1,"T3: 3 Calls",0
92,50000,0,0,0,1,"T3: 3 Calls",0
63,1e+05,0,0,1,0,"Control (No Call)",1
32,1e+05,1,0,0,0,"Control (No Call)",0
61,1e+05,1,0,1,0,"Control (No Call)",1
29,1e+05,1,0,0,0,"Control (No Call)",0
65,35000,0,1,1,1,"T1: 1 Call",1
84,15000,1,0,1,1,"T1: 1 Call",0
80,15000,0,0,1,1,"T1: 1 Call",0
76,15000,0,0,1,1,"T1: 1 Call",0
40,50000,1,0,0,1,"T1: 1 Call",0
NA,NA,NA,0,1,0,"Control (No Call)",0
27,50000,0,0,1,0,"Control (No Call)",0
79,35000,0,0,1,0,"Control (No Call)",0
25,50000,0,0,1,1,"T6: 6 Calls",0
52,50000,0,0,1,1,"T6: 6 Calls",0
NA,NA,NA,0,1,1,"T6: 6 Calls",0
50,50000,1,0,1,1,"T6: 6 Calls",0
21,50000,0,0,1,1,"T6: 6 Calls",0
53,1e+05,0,0,1,1,"T1: 1 Call",1
54,50000,1,0,0,1,"T1: 1 Call",0
24,1e+05,1,0,0,1,"T1: 1 Call",0
32,25000,1,1,1,0,"Control (No Call)",1
57,75000,0,0,1,0,"Control (No Call)",1
50,75000,1,0,1,0,"Control (No Call)",1
27,75000,1,0,1,0,"Control (No Call)",0
87,35000,1,0,1,0,"Control (No Call)",0
62,35000,1,0,1,0,"Control (No Call)",0
83,35000,0,0,0,0,"Control (No Call)",0
75,35000,0,1,0,0,"Control (No Call)",1
81,50000,1,0,1,1,"T1: 1 Call",1
79,35000,1,0,1,1,"T1: 1 Call",1
58,50000,1,0,1,0,"Control (No Call)",0
58,50000,0,0,1,0,"Control (No Call)",1
51,50000,0,0,1,0,"Control (No Call)",1
20,50000,1,0,0,0,"Control (No Call)",1
22,50000,0,0,1,0,"Control (No Call)",0
52,50000,1,0,1,0,"Control (No Call)",1
20,50000,0,0,1,0,"Control (No Call)",1
43,50000,0,0,1,1,"T1: 1 Call",1
48,50000,1,0,1,1,"T1: 1 Call",1
47,25000,0,0,1,1,"T1: 1 Call",0
50,25000,1,0,1,1,"T1: 1 Call",0
44,75000,0,0,1,1,"T1: 1 Call",1
55,75000,0,0,1,1,"T1: 1 Call",0
56,75000,1,0,1,1,"T1: 1 Call",1
73,50000,0,0,1,1,"T1: 1 Call",1
71,0,1,0,1,1,"T1: 1 Call",1
52,50000,1,0,1,1,"T1: 1 Call",1
90,50000,1,0,1,1,"T1: 1 Call",1
39,50000,1,0,1,1,"T3: 3 Calls",0
40,50000,0,0,1,1,"T3: 3 Calls",0
75,25000,0,0,1,1,"T3: 3 Calls",1
NA,NA,NA,0,0,1,"T3: 3 Calls",0
22,50000,0,0,0,1,"T1: 1 Call",0
47,50000,0,0,1,1,"T1: 1 Call",0
48,50000,1,0,1,1,"T1: 1 Call",0
94,50000,0,1,1,1,"T1: 1 Call",0
34,25000,0,1,1,1,"T6: 6 Calls",1
61,25000,1,1,1,1,"T1: 1 Call",1
58,75000,1,0,0,0,"Control (No Call)",0
56,75000,0,0,0,0,"Control (No Call)",1
79,50000,1,1,1,0,"Control (No Call)",1
60,35000,1,0,1,0,"Control (No Call)",0
51,50000,0,0,1,0,"Control (No Call)",0
54,50000,1,0,0,0,"Control (No Call)",0
56,50000,1,0,0,0,"Control (No Call)",0
29,50000,0,0,1,0,"Control (No Call)",0
